state,lat,lon
AK,61.4667,-152.5380
AL,32.8877,-86.8142
AR,35.1271,-92.4028
AS,-14.2781,-170.7025
AZ,33.6066,-111.6466
CA,36.1713,-119.7938
CO,39.2639,-105.3172
CT,41.5631,-72.8049
DC,38.8965,-77.0216
DE,39.3020,-75.5278
FL,28.1279,-81.9556
GA,33.0395,-83.7037
GU,13.4306,144.7707
HI,20.9839,-154.9750
IA,42.0222,-93.3339
ID,44.5294,-114.8229
IL,40.4333,-88.9811
IN,39.9403,-86.2675
KS,38.5128,-97.1565
KY,37.6213,-84.8319
LA,30.9352,-91.7444
MA,42.2361,-71.4942
MD,39.0542,-76.7811
ME,44.5675,-69.4305
MH,7.9494,169.4868
MI,43.4435,-84.7356
MN,45.5629,-94.1223
MO,38.3928,-92.4653
MP,14.7838,145.5193
MS,32.8270,-89.6910
MT,46.9361,-110.2946
NC,35.5736,-79.5283
ND,47.5125,-99.6207
NE,41.1913,-98.1534
NH,43.3894,-71.5658
NJ,40.3851,-74.5167
NM,34.6870,-106.1764
NV,37.8350,-116.6517
NY,42.2238,-75.1448
OH,40.3885,-82.7399
OK,35.5112,-97.0017
OR,44.5298,-122.0885
PA,40.6198,-77.5619
PR,18.3021,-66.3255
RI,41.7080,-71.5021
SC,33.9594,-81.0534
SD,44.2998,-99.1218
TN,35.8065,-86.4314
TX,31.2743,-97.9979
UT,39.9097,-111.8312
VA,37.7144,-78.2311
VI,17.9937,-64.8202
VT,44.0344,-72.6497
WA,47.3463,-121.2199
WI,44.1092,-89.5346
WV,38.4858,-80.9782
WY,42.8596,-107.2974
